ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Target Pressure (bar)
3203,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,18,2,12.15,7.9,10.7,0.19992879
3204,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,19,3,12.5,-2.95,-1.9,0.43568131
3205,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,20,3,12.5,-2.95,4.4,0.26403061
3206,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,21,3,12.5,-2.95,10.7,0.27057597
3207,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,22,4,12.5,-2.7,11,0.20467535
3208,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,23,4,12.5,2.6,11,0.11821055
3209,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,24,4,12.5,7.9,11,0.10001152
3210,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,25,5,12.5,8.15,-1.9,0.1423398
3211,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,26,5,12.5,8.15,4.4,0.10701191
3212,7.3,0.4158,2.4,5.4,1,1.8,0.6,522.8,354.3,11,11,13,0.6,13,Superheated,37.9,-1,152,27,5,12.5,8.15,10.7,0.09668465
3213,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,1,1,10.85,0.8,-1.1,0.11269971
3214,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,2,1,10.85,0.8,5.7,0.092202887
3215,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,3,1,10.85,0.8,12.5,0.081908524
3216,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,4,1,10.85,2.6,-1.1,0.074419141
3217,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,5,1,10.85,2.6,5.7,0.067300998
3218,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,6,1,10.85,2.6,12.5,0.06751807
3219,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,7,1,10.85,4.4,-1.1,0.049418263
3220,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,8,1,10.85,4.4,5.7,0.051730059
3221,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,9,1,10.85,4.4,12.5,0.048919052
3222,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,10,2,9.75,0.8,-1.1,0.53840721
3223,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,11,2,9.75,0.8,5.7,0.32976016
3224,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,12,2,9.75,0.8,12.5,0.26231581
3225,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,13,2,9.75,2.6,-1.1,0.48665586
3226,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,14,2,9.75,2.6,5.7,0.30312344
3227,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,15,2,9.75,2.6,12.5,0.2802664
3228,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,16,2,9.75,4.4,-1.1,0.36182538
3229,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,17,2,9.75,4.4,5.7,0.2233714
3230,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,18,2,9.75,4.4,12.5,0.21823989
3231,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,19,3,10.3,0.55,-1.1,0.35669512
3232,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,20,3,10.3,0.55,5.7,0.23365557
3233,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,21,3,10.3,0.55,12.5,0.19250169
3234,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,22,4,10.3,0.8,12.8,0.12832795
3235,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,23,4,10.3,2.6,12.8,0.10024623
3236,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,24,4,10.3,4.4,12.8,0.1026903
3237,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,25,5,10.3,4.65,-1.1,0.149726
3238,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,26,5,10.3,4.65,5.7,0.10041199
3239,30.6,0.8076123,1.6,4.4,0.8,1.2,0.2,363.6,407.6,9,4,14,1,16,Subcooled,37.9,-1,152,27,5,10.3,4.65,12.5,0.10363349
3240,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,1,1,20.05,1.4,-1.5,0.076562501
3241,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,2,1,20.05,1.4,1.3,0.077139385
3242,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,3,1,20.05,1.4,4.1,0.10521633
3243,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,4,1,20.05,4.2,-1.5,0.055952184
3244,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,5,1,20.05,4.2,1.3,0.06973277
3245,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,6,1,20.05,4.2,4.1,0.045875181
3246,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,7,1,20.05,7,-1.5,0.041555356
3247,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,8,1,20.05,7,1.3,0.03495587
3248,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,9,1,20.05,7,4.1,0.064386047
3249,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,10,2,18.35,1.4,-1.5,0.31985343
3250,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,11,2,18.35,1.4,1.3,0.32048142
3251,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,12,2,18.35,1.4,4.1,0.29717663
3252,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,13,2,18.35,4.2,-1.5,0.29365537
3253,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,14,2,18.35,4.2,1.3,0.29399014
